OddsName,PredName,FifaRank
Argentina,Argentina,3
Australia,Australia,38
Belgium,Belgium,2
Brazil,Brazil,1
Cameroon,Cameroon,43
Canada,Canada,41
Costa Rica,Costa Rica,31
Croatia,Croatia,12
Denmark,Denmark,10
Ecuador,Ecuador,44
England,England,5
France,France,4
Germany,Germany,11
Ghana,Ghana,60
Iran,Iran,20
Japan,Japan,24
Mexico,Mexico,13
Morocco,Morocco,22
Netherlands,Netherlands,8
Poland,Poland,26
Portugal,Portugal,9
Qatar,Qatar,51
Saudi Arabia,Saudi Arabia,50
Senegal,Senegal,18
Serbia,Serbia,21
South Korea,South Korea,28
Spain,Spain,7
Switzerland,Switzerland,15
Tunisia,Tunisia,30
Uruguay,Uruguay,14
USA,United States,16
Wales,Wales,19
Draw,Draw,