OddsName,PredName
Argentina,Argentina
Australia,Australia
Belgium,Belgium
Brazil,Brazil
Cameroon,Cameroon
Canada,Canada
Costa Rica,Costa Rica
Croatia,Croatia
Denmark,Denmark
Ecuador,Ecuador
England,England
France,France
Germany,Germany
Ghana,Ghana
Iran,Iran
Japan,Japan
Mexico,Mexico
Morocco,Morocco
Netherlands,Netherlands
Poland,Poland
Portugal,Portugal
Qatar,Qatar
Saudi Arabia,Saudi Arabia
Senegal,Senegal
Serbia,Serbia
South Korea,South Korea
Spain,Spain
Switzerland,Switzerland
Tunisia,Tunisia
Uruguay,Uruguay
USA,United States
Wales,Wales
Draw,Draw